,PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,TOTAL_TIME
47,QR_DECOMPOSITION,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2048,16,5.853077749,5.918355725
48,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,0,8.17e-05,9.98e-05
49,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,0,0.000183832,0.000215967
50,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,0,0.000963361,0.001056371
51,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,0,0.006824546,0.007169078
52,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,0,0.051102025,0.052423418
53,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,0,0.40120983,0.406157302
54,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,0,3.220839359,3.236528718
55,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,0,25.61842105,25.70352105
56,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,2,7.43e-05,9.54e-05
57,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,2,0.000157223,0.000194443
58,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,2,0.000700057,0.000797009
59,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,2,0.004585889,0.004936222
60,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,2,0.032308781,0.033627373
61,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,2,0.247417741,0.252370226
62,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,2,1.983655314,1.999223588
63,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,2,16.1671263,16.2271468
64,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16,4,8.31e-05,0.000103466
65,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,32,4,0.000133597,0.000167833
66,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,64,4,0.000453302,0.000547469
67,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,128,4,0.003976304,0.004318144
68,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,256,4,0.019691848,0.021018515
69,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,512,4,0.149671459,0.154682956
70,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,1024,4,1.069540094,1.085183097
71,QR_DECOMPOSITION,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,2048,4,8.3577186,8.4176776
